,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
20,21, Rohini Sector-16, 1 - Block E, Pkt 5, Rohini Sector-16, 2 - Block-F, Pkt-2 , Rohini Sector-16, 3 - A S Mandir, Pkt E 5, Sec-16, Rohini, 4 - Mandir, Pkt F 2, Sec-16, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22, Rohini Sector-16, 1 - Block-F, Pkt-3 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23, Rohini Sector-16, 1 - Block-F Pkt-4, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24, Rohini Sector-16, 1 - Block-F, Pkt-5, Rohini Sector-16, 2 - Block-F Pkt-6, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25, Rohini Sector-16, 1 - Block-F, Pkt-7, Rohini Sector-16, 2 - Block-F, Pkt-7A, Rohini Sector-16, 3 - Mandir, Pkt F 7, Sec - 16 , Rohini, 4 - Mandir, Pkt F 7 A, Sec -16 , Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26, Rohini Sector-16, 1 - Block-G, Pkt-1, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27, Rohini Sector-16, 1 - Block-G, Pkt-2, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28, Rohini Sector-16, 1 - Block-G, Pkt-3, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29, Rohini Sector-16, 1 - Block-G, Pkt-4, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30, Rohini Sector-16, 1 - Block-G, Pkt-5 , Rohini Sector-16, 2 - Mandir, Pkt G 5, Sec 16 , Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31, Rohini Sector-16, 1 - Block-G, Pkt-6, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32, Rohini Sector-16, 1 - Block-G, Pkt-8, Rohini Sector-16, 2 - Block-G, Pkt-9, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33, Rohini Sector-16, 1 - Block-G, Pkt-7 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34, Rohini Sector-16, 1 - Block-I, Pkt-1, Rohini Sector-16, 2 - Block-I, Pkt-2 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35, Rohini Sector-16, 1 - Block-I, Pkt-3, Rohini Sector-16, 2 - Block-I, Pkt-4, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36, Rohini Sector-16, 1 - Block-I, Pkt-5, Rohini Sector-16, 2 - Block-I, Pkt-6 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37, Rohini Sector-16, 1 - Block-I, Pkt-7, Rohini Sector-16, 2 - Block-I, Pkt-8 , Rohini Sector-16, 3 - Block-I, Pkt-9, Sector-16 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38, Rohini Sector-16, 1 - H-Block, Pkt-1, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39, Rohini Sector-16, 1 - H-Block, Pkt-2, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
